X152328_BSA_d1_A	X152328_IL13_d1_A	X153087_BSA_d1_A	X153087_IL13_d1_A	X153173_BSA_d2_H	X153173_IL13_d2_H	X153724_BSA_d1_A	X153724_IL13_d1_A	X153741_BSA_d2_H	X153741_IL13_d2_H	X153870_BSA_d1_H	X153870_IL13_d1_H	X154142_BSA_d2_A	X154142_IL13_d2_A	X154417_BSA_d2_A	X154417_IL13_d2_A	X154566_BSA_d1_A	X154566_IL13_d1_A	X154651_BSA_d2_A	X154651_IL13_d2_A	X154711_BSA_d1_A	X154711_IL13_d1_A	X154717_BSA_d1_A	X154717_IL13_d1_A	X154783_BSA_d1_A	X154783_IL13_d1_A	X155404_BSA_d2_H	X155404_IL13_d2_H
MUC5B_MUC5B	68	22	50	21	5	2	63	14	32	5	57	5	28	9	27	13	23	11	52	9	31	0	26	0	9	0	34	9
MVP_MVP	4	7	6	5	1	0	3	0	0	0	5	0	0	1	7	6	0	1	0	1	5	4	0	2	0	3	0	1
MYH14_MYH14	5	4	9	3	0	0	0	0	0	0	5	3	0	0	0	5	0	3	0	0	6	3	0	2	0	0	0	0
MYH9_MYH9	17	19	18	10	6	7	13	11	0	15	27	2	2	13	6	27	3	12	1	18	6	3	0	7	7	8	2	8
MYL12A_ML12A	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0
MYL12B_ML12B	1	2	2	2	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0
MYL6_MYL6	5	2	2	2	0	1	4	3	0	2	4	1	0	2	1	3	0	4	2	4	4	2	2	2	0	5	1	1
MYL6B_MYL6B	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO1B_MYO1B	4	0	2	0	0	0	0	0	0	0	4	0	0	0	4	0	6	0	1	0	3	0	7	0	0	0	0	0
MYOF_MYOF	3	0	0	0	0	0	4	0	0	0	7	0	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0
NAMPT_NAMPT	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	5	0	0	0	1	0	0	0	1	0	0	0	2
NANS_SIAS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	0	0	0	1
NCL_NUCL	0	0	2	0	0	0	0	0	0	0	2	0	0	0	3	1	2	0	0	0	0	1	2	0	0	0	0	1
NDRG1_NDRG1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
NME1_NDKA	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
NME2_NDKB	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	0	0	2	0	0	0	0	0	0	0	1
NME2P1_NDK8	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
NPC2_NPC2	2	0	2	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	5	0	0	0	0	0	0	0	1	0
NPEPPS_PSA	0	0	0	0	0	0	0	0	0	0	4	1	1	0	4	1	3	2	2	0	0	0	3	0	0	0	0	0
NPM1_NPM	1	2	3	1	0	0	1	0	0	0	4	0	0	0	1	1	0	1	1	1	2	3	0	1	0	0	0	1
NQO1_NQO1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NUCB1_NUCB1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	3	0	0	2	1	0	0	0	0	0	0	0	0
NUCB2_NUCB2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0
NUCKS1_NUCKS	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
NUDC_NUDC	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	2	0	1	0	0	0	0	0
NUDT5_NUDT5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OLA1_OLA1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OLFM4_OLFM4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
P4HB_PDIA1	1	7	6	9	1	4	8	2	0	3	11	0	2	5	5	7	3	5	4	5	3	2	0	3	4	2	2	7
PACRG_PACRG	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PACSIN2_PACN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0
PAFAH1B2_PA1B2	0	2	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0
PAM_AMD	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PARK7_PARK7	5	4	3	2	5	1	0	1	2	2	3	0	3	2	6	4	2	3	3	2	4	3	5	4	0	1	1	2
PCBP1_PCBP1	5	1	3	3	1	0	3	0	1	1	4	0	1	1	0	2	0	2	4	2	3	1	1	2	0	0	1	1
PDCD10_PDC10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
PDCD6_PDCD6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
PDCD6IP_PDC6I	3	4	3	2	1	0	1	0	0	1	3	0	2	1	6	1	0	4	4	2	4	2	2	0	0	0	1	2
PDIA3_PDIA3	11	10	9	10	0	5	9	4	0	4	11	1	0	6	3	9	2	8	2	8	8	4	0	7	3	2	1	8
PDIA4_PDIA4	0	0	1	3	0	1	4	0	0	0	2	0	1	1	0	2	0	1	0	2	2	0	1	0	0	0	0	2
PDIA6_PDIA6	0	1	1	2	0	0	4	1	0	0	4	0	0	0	1	2	0	2	0	0	2	0	0	1	0	1	0	0
PDLIM1_PDLI1	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0
PDXK_PDXK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
PEBP1_PEBP1	2	0	4	0	4	0	0	1	2	0	4	0	4	1	6	2	1	2	4	1	5	2	3	3	0	0	3	2
PFN1_PROF1	5	5	5	3	4	3	6	6	2	5	8	0	4	2	6	6	2	5	4	4	5	0	4	5	5	4	2	4
PGAM1_PGAM1	2	0	3	3	0	1	0	2	0	1	3	0	1	1	3	4	0	3	1	1	0	0	2	3	0	0	0	2
PGAM2_PGAM2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
PGD_6PGD	4	5	2	2	1	2	2	1	1	2	6	0	1	2	6	4	4	6	5	3	6	6	6	3	0	3	0	2
PGK1_PGK1	11	14	8	19	4	7	6	12	3	8	18	2	8	10	15	15	13	14	11	11	16	14	15	15	3	7	3	9
PGLS_6PGL	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	3	0	0	0	0	0	3	1	0	0	0	0
PGM1_PGM1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PGM2_PGM2	0	0	0	0	1	0	0	0	1	1	2	0	1	0	3	3	0	0	2	1	2	0	2	0	0	0	2	0
PHB_PHB	0	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
PHB2_PHB2	0	1	2	0	0	0	1	0	0	0	3	2	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0
PHPT1_PHP14	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PI3_ELAF	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
PIGR_PIGR	47	38	39	31	22	29	29	33	29	25	39	8	27	31	28	32	32	39	32	28	35	21	33	36	30	26	32	23
PKM_KPYM	18	22	24	20	20	11	17	15	15	15	29	3	15	14	18	17	12	16	19	14	20	5	20	17	12	14	17	15
PLAU_UROK	5	3	1	0	0	0	0	2	0	1	2	0	0	1	0	2	0	2	1	1	0	0	0	0	2	2	0	0
PLEC_PLEC	4	3	2	0	1	1	0	0	0	3	4	2	0	0	6	7	0	0	0	2	0	8	0	0	0	0	0	0
PLIN3_PLIN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
PLS1_PLSI	2	0	0	0	1	1	0	0	0	2	0	0	1	0	0	3	0	2	1	1	1	0	0	1	0	0	0	0
PLS3_PLST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0
PLTP_PLTP	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PODXL_PODXL	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	2	0	1	0	0	1	0
POSTN_POSTN	0	0	0	0	0	2	0	5	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PPA1_IPYR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
PPIA_PPIA	9	8	7	9	7	3	4	5	1	5	14	0	5	6	7	10	9	8	9	7	7	4	7	10	0	0	5	8
PPIB_PPIB	4	3	5	2	1	1	4	0	0	1	5	0	2	1	2	2	2	0	5	0	3	0	2	0	2	0	1	1
PPP2R1A_2AAA	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
PRB1_PRP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
PRB2_PRB2	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	1
PRDX1_PRDX1	3	9	8	10	9	4	3	3	5	9	7	0	7	9	11	9	7	7	10	9	9	3	7	8	3	2	8	7
PRDX2_PRDX2	4	3	4	2	5	0	3	0	0	0	6	0	0	0	2	2	3	4	3	0	5	2	5	3	0	0	0	0
PRDX3_PRDX3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
PRDX5_PRDX5	4	5	4	5	10	2	2	0	1	2	6	1	7	1	5	5	5	4	8	4	4	2	6	5	0	0	0	2
PRDX6_PRDX6	2	2	0	2	2	1	2	2	1	1	3	0	2	3	4	4	0	3	5	2	2	0	2	3	0	0	1	1
PRKCSH_GLU2B	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0
PROM1_PROM1	8	0	7	0	9	0	5	0	5	0	7	0	4	0	10	1	12	0	11	0	9	0	12	0	2	0	4	0
PRSS22_BSSP4	0	0	0	0	1	1	0	2	1	1	0	0	2	1	1	3	0	0	1	1	2	0	0	0	0	0	1	1
PSAP_SAP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
PSCA_PSCA	3	2	3	2	3	2	2	0	3	2	3	0	2	2	0	0	2	2	0	0	0	0	0	0	0	0	3	2
PSMA1_PSA1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0
PSMA2_PSA2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0
PSMA3_PSA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
PSMA4_PSA4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0
PSMA5_PSA5	0	1	0	0	1	0	0	0	0	1	0	0	1	1	2	1	0	0	2	1	0	1	0	2	1	1	2	0
PSMA6_PSA6	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0
PSMA8_PSA7L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0
PSMB2_PSB2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
PSMB3_PSB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
PSMB6_PSB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
PSMD2_PSMD2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME1_PSME1	0	0	2	0	0	0	1	0	0	0	3	0	1	0	0	2	2	0	1	0	1	0	1	0	0	0	0	0
PSME2_PSME2	0	2	0	3	1	1	0	0	0	1	0	3	1	1	0	1	0	0	0	1	0	3	0	2	0	0	0	1
PTBP1_PTBP1	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1
PTHLH_PTHR	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PTMA_PTMA	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
PTMS_PTMS	1	1	0	0	1	1	1	0	0	0	2	0	0	1	1	1	1	0	0	1	2	1	0	0	0	0	1	0
PTPRZ1_PTPRZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
PYCARD_ASC	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0
PYGB_PYGB	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	0	3	0	0	0	0	0	0	0	0	0	0
QSOX1_QSOX1	7	7	5	4	2	3	3	7	7	5	5	1	8	6	8	10	3	8	13	5	9	4	7	6	2	0	7	4
RAB10_RAB10	0	0	0	0	1	1	0	0	1	0	0	0	0	1	3	3	2	0	1	1	0	0	0	0	0	0	1	1
RAB11A_RB11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
RAB1A_RAB1A	0	0	2	0	0	0	0	0	0	0	3	0	0	0	3	0	0	3	0	1	0	0	0	0	0	0	0	0
RAB1B_RAB1B	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0
RAB1C_RAB1C	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RAB27A_RB27A	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RAB2A_RAB2A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
RAB5C_RAB5C	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	2	0	0	0	0	0	0
RAC1_RAC1	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	1
RAC3_RAC3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	4	1	1	1	0	0
RACK1_RACK1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	2
RAN_RAN	2	2	2	1	1	0	0	0	0	2	1	0	1	1	2	1	0	2	3	1	0	0	0	1	0	0	1	2
RAP1A_RAP1A	3	0	0	0	1	0	0	0	1	1	2	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2
RAP1B_RAP1B	3	0	3	1	0	0	2	1	0	0	0	0	0	0	3	0	2	0	2	0	0	0	1	0	0	0	0	0
RARRES1_TIG1	7	0	0	0	0	0	6	0	1	0	3	0	1	0	0	0	3	0	1	0	0	0	0	0	4	2	0	0
RDX_RADI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	9	0	0	0	0	0
RHOA_RHOA	0	2	0	2	0	0	0	2	0	0	3	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	0
RNH1_RINI	1	1	0	1	0	0	0	0	0	0	2	0	0	0	2	3	0	2	1	2	1	0	0	2	0	0	0	0
RNPEP_AMPB	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
RP2_XRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
RPL10A_RL10A	2	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	2	0	0	1	0	0	0	0
RPL12_RL12	2	2	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	2	1	0	1	0	0	1	0	0	0	1
RPL15_RL15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1
RPL18_RL18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
RPL23A_RL23A	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
RPL27A_RL27A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RPL3_RL3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
RPL34_RL34	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL4_RL4	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL6_RL6	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
RPL7A_RL7A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
RPN1_RPN1	0	0	1	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
RPS14_RS14	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1
RPS19_RS19	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
RPS2_RS2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
RPS25_RS25	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS27A_RS27A	0	3	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS27L_RS27L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
RPS28_RS28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0
RPS8_RS8	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
RPSA_RSSA	2	2	2	1	0	0	0	0	0	0	2	0	0	0	0	4	1	3	0	0	3	0	0	2	1	0	0	0
RRAS2_RRAS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
RRBP1_RRBP1	0	1	0	0	1	0	0	0	0	1	2	0	1	0	2	0	0	0	2	2	0	6	0	0	0	0	1	2
RUVBL1_RUVB1	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
RUVBL2_RUVB2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
S100A11_S10AB	7	7	8	8	6	5	7	6	5	7	8	3	7	5	6	6	6	5	7	5	7	7	7	8	3	6	5	5
S100A14_S10AE	1	2	2	1	1	1	1	2	0	0	2	0	0	1	1	1	1	2	0	1	1	1	0	1	0	0	0	1
S100A16_S10AG	1	2	1	2	0	0	1	0	0	0	2	1	0	2	0	1	0	2	0	1	0	1	0	0	0	0	0	1
S100A2_S10A2	3	0	3	0	2	1	0	0	0	1	4	1	0	1	3	2	0	1	2	1	4	0	3	0	2	1	1	0
S100A4_S10A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
S100A6_S10A6	2	2	1	0	1	1	1	1	1	1	2	0	1	1	2	1	2	0	1	1	3	2	1	0	0	0	1	1
S100A8_S10A8	1	0	1	0	1	3	1	0	1	0	1	0	2	0	1	3	0	1	2	0	0	0	1	1	0	0	1	0
S100A9_S10A9	0	0	1	1	1	2	0	0	0	1	1	0	1	0	1	2	0	1	2	0	0	0	0	1	0	0	0	0
S100P_S100P	2	1	2	3	3	3	1	3	2	3	2	3	1	3	3	4	1	1	2	3	2	3	2	2	2	3	2	3
SARG_SARG	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
SCGB1A1_UTER	14	1	7	4	7	2	8	1	12	5	13	1	15	10	6	2	6	2	11	9	6	3	8	1	4	0	15	13
SCGB3A1_SG3A1	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SDC1_SDC1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SDHA_SDHA	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SELENBP1_SBP1	3	4	4	8	8	3	0	4	2	4	4	0	2	8	11	12	0	5	7	10	6	3	6	7	0	0	7	17
SERBP1_PAIRB	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
SERPINA1_A1AT	10	3	5	2	4	3	8	4	12	3	9	0	14	6	4	9	9	6	19	6	8	3	8	7	2	0	8	5
SERPINA3_AACT	9	5	1	0	2	0	6	2	4	2	4	0	2	1	4	3	6	4	8	1	4	0	2	2	11	4	3	1
SERPINB1_ILEU	4	0	8	4	7	5	1	1	6	6	9	0	1	2	12	8	7	5	6	2	7	4	8	3	0	3	2	2
SERPINB10_SPB10	0	2	0	3	0	0	0	1	0	1	0	0	0	2	0	2	0	4	0	0	0	1	0	2	0	0	0	1
SERPINB13_SPB13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	3	0	2	0	2	0	3	0	0	0	0
SERPINB2_PAI2	2	10	0	13	0	12	0	9	0	14	0	2	0	19	1	14	2	10	2	13	0	7	0	12	0	6	0	11
SERPINB3_SPB3	26	34	24	31	31	27	27	32	29	32	36	9	32	31	31	29	24	29	31	29	36	30	34	30	7	20	37	30
SERPINB4_SPB4	17	24	17	24	0	22	0	25	21	22	25	0	21	23	22	25	0	25	23	21	23	21	21	22	0	14	22	20
SERPINB5_SPB5	7	4	4	0	4	1	2	0	1	1	6	0	2	2	9	8	3	2	6	2	6	1	3	2	2	0	1	1
SERPINB6_SPB6	3	4	1	5	3	1	0	4	1	3	3	0	3	3	5	8	1	5	4	3	6	2	3	4	0	0	1	7
SERPINE1_PAI1	6	4	7	0	2	3	0	0	1	5	0	2	0	0	2	6	0	3	6	3	2	0	2	4	0	0	0	2
SERPINF1_PEDF	13	6	7	1	5	2	7	7	7	2	10	0	12	5	7	5	6	5	12	6	8	0	8	4	2	0	10	3
SETSIP_SETLP	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	2	0
SFN_1433S	7	9	6	0	6	5	0	0	0	9	6	7	0	4	6	10	4	5	5	9	4	5	5	5	3	4	2	5
SFPQ_SFPQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
SH3BGRL_SH3L1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0
SH3BGRL2_SH3L2	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	2
SH3BGRL3_SH3L3	0	2	0	0	1	0	0	0	1	1	2	0	0	0	1	2	0	0	1	1	0	1	0	2	0	0	1	0
SLC25A3_MPCP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0
SLC25A5_ADT2	3	2	0	0	0	0	4	0	0	0	5	0	0	1	2	1	0	0	0	0	0	1	0	0	0	1	0	1
SLC25A6_ADT3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
SLC26A4_S26A4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC34A2_NPT2B	2	0	3	0	0	0	0	0	1	0	2	0	1	0	1	0	1	0	1	0	1	0	2	0	1	0	2	0
SLC44A2_CTL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0
SLC44A4_CTL4	1	0	3	0	2	0	0	0	1	0	2	0	1	0	4	1	2	0	2	0	2	0	4	0	0	0	3	0
SLC6A14_S6A14	1	4	1	0	1	1	0	0	1	5	1	0	1	4	3	4	0	2	1	3	0	0	0	1	0	0	1	3
SLC9A3R1_NHRF1	5	2	4	1	5	1	3	0	4	2	5	0	4	2	6	3	4	1	5	2	4	0	5	1	2	0	5	2
SLK_SLK	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
SLPI_SLPI	14	11	9	8	5	4	13	10	5	4	10	6	8	8	7	4	9	7	9	4	9	10	8	11	8	3	6	5
SMIM22_SIM22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
SNRPA_SNRPA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
SOD2_SODM	0	0	1	1	1	0	2	0	1	1	2	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0
SORD_DHSO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
SPINT1_SPIT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	3	0	0	0	0	0	0	0	0	0
SPTAN1_SPTN1	2	3	2	1	1	0	0	0	0	1	5	2	1	0	4	3	0	4	1	1	4	4	0	5	0	0	0	0
SPTBN1_SPTB2	0	2	0	3	0	0	0	0	0	0	3	0	1	0	3	3	0	0	1	1	0	0	0	0	0	0	0	0
SQOR_SQOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2
SQRDL_SQRD	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
SRC_SRC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0
SRI_SORCN	0	0	2	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	2	2	0	0	0	0	0	0
